2319,ACP - Coursetune,1,3,3557,24
2320,ACP - Migracion a WordPress,1,16,4232,1366
2321,ARF - Maintenance,2,27,432,163
2322,ARF - Performance Testing,2,27,14,24
2323,AUB - DCS-Poopnet,3,33,1850,135
2324,AUB - Direct Mail,3,33,148,83
2325,AUB - LMPBP (Local Marketing Plan Budget Platform),3,33,2154,135
2326,AUB - Swimming Pool,3,41,550,0
2327,BRA - Kepler,4,44,2184,0
2328,BRA - PM tools modernization implementation,4,49,597,61
2329,BRA - Snowflake Data Migration,4,51,523,1
2330,BRA - Support Kepler-BSecure,4,44,806,0
2331,DOD - Middle Back Office,5,50,224,0
2332,EPE - Pruebas de Regresion,6,56,363,16
2333,FSX - FSIL UX,8,67,90,0
2334,FSX - FSX JSI,8,67,69,0
2335,EET - Atlas,7,62,3483,11
2336,FSX - FSX Pacer Pro,8,67,16,0
2337,FSX - FSX Security Patch,8,67,469,0
2338,FSX - Maintenance,8,67,1296,0
2339,FSX - FSX-FSIL Filing Integration,8,67,98,0
2340,FSX - NFE JTI,8,67,594,0
2341,FSX - Security Incident 2021-11 Response Audit,8,67,85,16
2342,FSX - Tyler Platform,8,67,603,0
2343,IPS -  Process & Cumplimiento,9,68,0,1380
2344,IPS - Administration & Finance,9,72,0,1991
2345,IPS - Central,9,31,0,3060
2346,IPS - Chronos,9,53,0,2097
2347,IPS - Chronos Mobile,9,53,0,702
2348,IPS - Human Resources,9,85,0,3205
2349,IPS - Cierre de Evaluacion,9,5,0,97
2350,IPS - Information Technology,9,92,0,2972
2351,IPS - Talent Acquisition,9,90,0,2473
2352,IRV -  Office - Heroku,10,53,472,0
2353,IRV - Accounts,10,53,22,0
2354,IRV - Appartments QA,10,100,5981,2
2355,IRV - Office QA,10,106,3278,126
2356,IRV - Retail QA,10,111,1009,0
2357,IRV - Sublease,10,53,386,0
2358,IRV - Safety Management Mobile App,10,53,648,1
2359,IRV - Support,10,53,3674,0
2360,Pivotal Retirement,10,53,656,0
2361,SCL - Web App Redesign,12,9,2506,6
2362,JMT -  MVP Jammin' Together,11,84,1175,85
2363,SCL -  Mobile & Desktop Design,12,48,24,0
2364,SFT - Knowledge Transfer and Documentation,13,5,184,0
2365,SFT - Knowledge Transfer and Documentation-2,13,5,399,0
2366,SWR - Online Booking Widget,14,126,108,0
2367,TXL - Traxxall Mobile,16,67,888,80
2368,TCA - IQ updates and fixes,15,41,1574,0
2369,WLD - OLA,17,84,2476,0
2370,WLD - Walden Website,17,5,1392,0
2371,WLD - Tempo,17,5,816,0
